"","date","event","data","row_id"
"1",2025-07-30 21:51:00,"LogSetTime",NA,9
"2",2025-07-30 21:51:00,"LogDailyBattMeas","2.92 V",10
"3",2025-07-30 21:51:00,"LogDailyTherapyTime","0 sec",11
"4",2025-07-30 21:51:00,"LogTotalIpgTherapyTime","1114803 sec",12
"5",2025-07-30 21:51:00,"LogDailyTimeInEachPosition","Active = [0 sec] - Standing = [0 sec] - Reclined = [64 sec] - Lying = [0 sec] - Supine = [0 sec] - Prone = [0 sec] - RightLateral = [0 sec] - LeftLateral = [0 sec]",13
"6",2025-07-30 21:51:00,"LogDailyImpedanceMeas","LeadImpedance = [1568 Ohms] - Terminal[0] = [+] - Terminal[1] = [-] - Terminal[2] = [+] - Terminal[3] = [Off] - Terminal[4] = [Off]",14
"7",2025-07-30 21:51:38,"LogNewRTCID","RTCid = [13] - Time = [29/07/2025 09:51:38]",15
"8",2025-07-30 21:51:30,"LogSetTime",NA,16
"9",2025-07-30 21:51:30,"LogDailyBattMeas","2.90 V",17
"10",2025-07-30 21:51:30,"LogDailyTherapyTime","0 sec",18
"11",2025-07-30 21:51:30,"LogTotalIpgTherapyTime","1114803 sec",19
"12",2025-07-30 21:51:30,"LogDailyTimeInEachPosition","Active = [0 sec] - Standing = [0 sec] - Reclined = [38 sec] - Lying = [0 sec] - Supine = [0 sec] - Prone = [0 sec] - RightLateral = [0 sec] - LeftLateral = [0 sec]",20
"13",2025-07-30 21:51:30,"LogDailyImpedanceMeas","LeadImpedance = [1597 Ohms] - Terminal[0] = [+] - Terminal[1] = [-] - Terminal[2] = [+] - Terminal[3] = [Off] - Terminal[4] = [Off]",21
"14",2025-07-30 21:53:56,"LogProgramming","Device mode = [Ready] - Magnet mode = [Safety M.] - Balance mode = [Active] - TranstImpedPulseTerm = [IMP1-Case] - UprightPauseMode = [Enabled] - RollPauseMode = [Enabled] - GyroscopeMode = [Disabled] - PhasicTime = [1.3 sec] - TherapyRate = [24] bpm - RiseTime = [0.2] sec - FallTime = [0.1] sec - TonicAmplitude = [0.00 mA] - PhasicAmplitude = [0.65 mA] - OnsetRampTime = [5 min] - EndingRampTime = [0 min] - PulseWidth = [305.0 micro sec] - Frequency = [30 Hz] - InterphasePeriod = [30.5 micro sec] - BurstCycles = [2 cycles] - TherapyLength = [480] min - TherapyDelay = [20 min] - UprightPause = [10 min] - RollPause = [3 min] - MaxPhasicAmplitude = [0.70 mA] - MinPhasicAmplitude = [0.30 mA] - AmplitudeStep = [0.05 mA] - Terminal[0] = [+] - Terminal[1] = [-] - Terminal[2] = [+] - Terminal[3] = [Off] - Terminal[4] = [Off] - TranstImpedSamplingRate = [One stim. pulse] - StepUpVoltage = [Auto]",22
"15",2025-07-30 21:54:41,"LogProgAlgoLL","TTI Averaging Filter = [500 msec]] - TTI Peak Detect = [500 msec] - Min Valid TTI Pk-Pk = [150 mohm] - Max Valid TTI Pk-Pk = [2000 mohm] - Max Valid TTI Pt-Pt = [500 mohm] - Min Respiration Period = [2500 msec] - Max Respiration Period = [6000 msec] - Reserved 1 = [0 msec] - Reserved 2 = [0 msec] - Stim Advance = [800 msec] - Respiration Cycle Count = [6] - Automatic Stim Count = [3] - Recovery Burst = [1000 msec] - Recovery Burst Wait = [30 sec] - Recovery Burst Count = [0] - Intermittent Stim Count = [1] - Enable TTI Predict Algorithm = [1] - Enable XYZ Algorithm = [0] - Enable Centered Inhalation = [0] - Enable Stimulation Output = [1] - Enable TTI Freq Lock Algorithm = [0]",23
"16",2025-07-30 21:55:06,"LogProgAlgoHL","XYZ Rolling Average = [400 msec] - XYZ Peak Detect = [500 msec] - Min Valid XYZ Pk-Pk = [1000 μ-g] - Max Valid XYZ Pk-Pk = [1000 μ-g] - Max Valid XYZ Pt-Pt = [1000 μ-g] - Baseline Collection = [30 sec] - TV Averaging Cycles = [10] - TV Low Percentage = [75 %] - TV High Percentage = [125 %] - Adaptive Amplitude Step = [50 μA] - Adaptive Duration Step = [100 msec] - Max Intermittent Stim Count = [3] - EnableAdaptAmp = [0] - EnableAdaptDur = [0] - EnableAdaptInt = [0]",24
"17",2025-07-30 22:04:00,"LogStartMarkerSession",NA,25
"18",2025-07-30 22:33:32,"LogProgramming","Device mode = [Ready] - Magnet mode = [Safety M.] - Balance mode = [Active] - TranstImpedPulseTerm = [IMP1-Case] - UprightPauseMode = [Enabled] - RollPauseMode = [Enabled] - GyroscopeMode = [Disabled] - PhasicTime = [1.3 sec] - TherapyRate = [12] bpm - RiseTime = [0.2] sec - FallTime = [0.1] sec - TonicAmplitude = [0.00 mA] - PhasicAmplitude = [0.40 mA] - OnsetRampTime = [5 min] - EndingRampTime = [0 min] - PulseWidth = [305.0 micro sec] - Frequency = [30 Hz] - InterphasePeriod = [30.5 micro sec] - BurstCycles = [2 cycles] - TherapyLength = [480] min - TherapyDelay = [20 min] - UprightPause = [10 min] - RollPause = [3 min] - MaxPhasicAmplitude = [0.70 mA] - MinPhasicAmplitude = [0.30 mA] - AmplitudeStep = [0.05 mA] - Terminal[0] = [+] - Terminal[1] = [-] - Terminal[2] = [+] - Terminal[3] = [Off] - Terminal[4] = [Off] - TranstImpedSamplingRate = [One stim. pulse] - StepUpVoltage = [Auto]",26
"19",2025-07-30 22:36:49,"LogTherapyStart","BatteryLevel = [2.88 V] - LeadImpedance = [1634 Ohms] - Terminal[0] = [+] - Terminal[1] = [-] - Terminal[2] = [+] - Terminal[3] = [Off] - Terminal[4] = [Off]",27
"20",2025-07-30 22:37:04,"LogChangeAmplitudeByOrder","WasIncreased = [Yes] - OrderFromMobileApp = [No] - AmplitudeStep = [0.05 mA]",28
"21",2025-07-30 22:37:25,"LogTherapyEnd","TherapyDuration = [0 sec] - TherapyEndCause = [StopByOrder]",29
"22",2025-07-30 22:37:59,"LogProgramming","Device mode = [Ready] - Magnet mode = [Safety M.] - Balance mode = [Active] - TranstImpedPulseTerm = [IMP1-Case] - UprightPauseMode = [Enabled] - RollPauseMode = [Enabled] - GyroscopeMode = [Disabled] - PhasicTime = [1.3 sec] - TherapyRate = [12] bpm - RiseTime = [0.2] sec - FallTime = [0.1] sec - TonicAmplitude = [0.00 mA] - PhasicAmplitude = [0.40 mA] - OnsetRampTime = [0 min] - EndingRampTime = [0 min] - PulseWidth = [305.0 micro sec] - Frequency = [30 Hz] - InterphasePeriod = [30.5 micro sec] - BurstCycles = [2 cycles] - TherapyLength = [480] min - TherapyDelay = [0 min] - UprightPause = [10 min] - RollPause = [0 min] - MaxPhasicAmplitude = [0.70 mA] - MinPhasicAmplitude = [0.30 mA] - AmplitudeStep = [0.05 mA] - Terminal[0] = [+] - Terminal[1] = [-] - Terminal[2] = [+] - Terminal[3] = [Off] - Terminal[4] = [Off] - TranstImpedSamplingRate = [One stim. pulse] - StepUpVoltage = [Auto]",30
"23",2025-07-30 22:38:03,"LogTherapyStart","BatteryLevel = [2.88 V] - LeadImpedance = [1600 Ohms] - Terminal[0] = [+] - Terminal[1] = [-] - Terminal[2] = [+] - Terminal[3] = [Off] - Terminal[4] = [Off]",31
"24",2025-07-30 22:38:14,"LogChangeAmplitudeByOrder","WasIncreased = [Yes] - OrderFromMobileApp = [No] - AmplitudeStep = [0.05 mA]",32
"25",2025-07-30 22:38:36,"LogProgramming","Device mode = [Ready] - Magnet mode = [Safety M.] - Balance mode = [Active] - TranstImpedPulseTerm = [IMP1-Case] - UprightPauseMode = [Enabled] - RollPauseMode = [Enabled] - GyroscopeMode = [Disabled] - PhasicTime = [1.1 sec] - TherapyRate = [12] bpm - RiseTime = [0.2] sec - FallTime = [0.1] sec - TonicAmplitude = [0.00 mA] - PhasicAmplitude = [0.55 mA] - OnsetRampTime = [0 min] - EndingRampTime = [0 min] - PulseWidth = [305.0 micro sec] - Frequency = [30 Hz] - InterphasePeriod = [30.5 micro sec] - BurstCycles = [2 cycles] - TherapyLength = [480] min - TherapyDelay = [0 min] - UprightPause = [10 min] - RollPause = [0 min] - MaxPhasicAmplitude = [0.70 mA] - MinPhasicAmplitude = [0.30 mA] - AmplitudeStep = [0.05 mA] - Terminal[0] = [+] - Terminal[1] = [-] - Terminal[2] = [+] - Terminal[3] = [Off] - Terminal[4] = [Off] - TranstImpedSamplingRate = [One stim. pulse] - StepUpVoltage = [Auto]",33
"26",2025-07-30 22:39:11,"LogChangeAmplitudeByOrder","WasIncreased = [Yes] - OrderFromMobileApp = [No] - AmplitudeStep = [0.05 mA]",34
"27",2025-07-30 22:40:08,"LogProgAlgoLL","TTI Averaging Filter = [500 msec]] - TTI Peak Detect = [500 msec] - Min Valid TTI Pk-Pk = [150 mohm] - Max Valid TTI Pk-Pk = [2000 mohm] - Max Valid TTI Pt-Pt = [500 mohm] - Min Respiration Period = [2500 msec] - Max Respiration Period = [6000 msec] - Reserved 1 = [0 msec] - Reserved 2 = [0 msec] - Stim Advance = [800 msec] - Respiration Cycle Count = [6] - Automatic Stim Count = [3] - Recovery Burst = [1000 msec] - Recovery Burst Wait = [30 sec] - Recovery Burst Count = [0] - Intermittent Stim Count = [1] - Enable TTI Predict Algorithm = [0] - Enable XYZ Algorithm = [0] - Enable Centered Inhalation = [0] - Enable Stimulation Output = [1] - Enable TTI Freq Lock Algorithm = [0]",35
"28",2025-07-30 22:41:09,"LogChangeAmplitudeByOrder","WasIncreased = [Yes] - OrderFromMobileApp = [No] - AmplitudeStep = [0.05 mA]",36
"29",2025-07-30 22:46:06,"LogChangeAmplitudeByOrder","WasIncreased = [Yes] - OrderFromMobileApp = [No] - AmplitudeStep = [0.05 mA]",37
"30",2025-07-30 22:48:11,"LogTherapyEnd","TherapyDuration = [580 sec] - TherapyEndCause = [StopByOrder]",38
