"","Abdomen","Audio.Volume.dB","ECG","Flow","Heart.Rate","Left.Leg","PosAngle","Pulse","Saturation","Thermistor","Thorax","X.Axis","Y.Axis","Z.Axis","Acceleration..X.","Acceleration..Y.","Acceleration..Z.","Impedance","Stimulation","Position","Phasic.Amplitude","original_time","stim_numeric","parsed_time","time_only","corrected_stim","stim_binary"
"1","0","57.0451","0.0038","-0.0364","65.147","0.0002","13.0395","64.997","90.9957","0.0343","0","0.2183","-0.9427","-0.2072","-1.8849","1.9083","9.6909","7.6406","312.854","0","0","9:17:56 PM",312.854,2025-05-29 21:17:56,21:17:56,0,0
"2","0","57.3543","0.0037","0.1454","66.1003","0.0003","13.3593","64.9877","91.038","0.0342","0","0.2238","-0.9424","-0.2081","-1.8833","1.92","9.7044","7.6505","312.5715","0","0","9:17:58 PM",312.5715,2025-05-29 21:17:58,21:17:58,0,0
"3","0.0001","58.0027","0.0038","0.0998","66.299","0.0003","13.107","65.0084","90.7094","0.0349","0","0.2201","-0.9454","-0.2002","-1.8434","1.9166","9.7001","7.702","312.291","0","0","9:17:58 PM",312.291,2025-05-29 21:17:58,21:17:58,0,0
"4","0","58.0088","0.0038","-0.1838","66.5445","0.0002","13.1446","64.9586","90.0877","0.035","0","0.2202","-0.9429","-0.2053","-1.898","1.9312","9.6927","7.6571","312.0095","0","0","9:17:59 PM",312.0095,2025-05-29 21:17:59,21:17:59,0,0
"5","0","57.0002","0.0038","-0.0411","66.3536","0.0003","13.1828","65.2855","89.9863","0.0345","0","0.2209","-0.9432","-0.2101","-1.8573","1.9162","9.7068","7.6596","311.727","0","0","9:18:01 PM",311.727,2025-05-29 21:18:01,21:18:01,0,0
"6","0","57.6066","0.0038","0.1434","66.7781","0.0003","13.4132","65.9143","89.9974","0.0344","0","0.2246","-0.9416","-0.2091","-1.8176","1.9102","9.7084","7.6772","311.4439","0","0","9:18:01 PM",311.4439,2025-05-29 21:18:01,21:18:01,0,0
"7","0.0001","57.708","0.0038","0.0005","67.2344","0.0003","13.3261","66.016","90.0264","0.0351","0","0.2234","-0.9435","-0.2034","-1.8324","1.9227","9.6971","7.6968","311.1613","0","0","9:18:02 PM",311.1613,2025-05-29 21:18:02,21:18:02,0,0
"8","0","58.351","0.0038","-0.1187","67.0394","0.0003","13.2715","66.0087","89.7245","0.0351","0","0.2222","-0.9424","-0.2074","-1.8723","1.9278","9.6959","7.6618","310.8809","0","0","9:18:04 PM",310.8809,2025-05-29 21:18:04,21:18:04,0,0
"9","0","57.1571","0.0037","-0.0307","66.8583","0.0003","13.3209","65.9724","89.0905","0.0347","0","0.223","-0.9421","-0.2115","-1.8553","1.8913","9.7118","7.6541","310.5994","0","0","9:18:04 PM",310.5994,2025-05-29 21:18:04,21:18:04,0,0
"10","0","56.2308","0.0038","0.0415","67.0269","0.0003","13.3738","66.2702","88.9524","0.0345","0","0.224","-0.9418","-0.2096","-1.854","1.8699","9.7176","7.6505","310.3168","0","0","9:18:05 PM",310.3168,2025-05-29 21:18:05,21:18:05,0,0
